Journal Title,Rating,Publisher,ISSN,ISSN Online,FoR,Year Inception
4OR,B,Springer Nature,1619-4500,1614-2411,3599,2003
AACE International Transactions,B,AACE International,1528-7106,1528-7106,3599,1967
Abacus,B,Wiley-Blackwell Publishing,0001-3072,1467-6281,3501,1965
Academia Economic Papers,B,"Institute of Economics, Academia Sinica",1018-161X,,3801,1973
Academy of Management Annals,B,Academy of Management,1941-6520,1941-6067,3507,2008
Academy of Management Discoveries,B,Academy of Management,2168-1007,,3507,2015
Academy of Management Journal,B,Academy of Management,0001-4273,1948-0989,3507,1958
Academy of Management Learning and Education,B,Academy of Management,1537-260X,1944-9585,3507,2002
Academy of Management Perspectives,B,Academy of Management,1558-9080,1943-4529,3507,1987
Academy of Management Review,B,Academy of Management,0363-7425,1930-3807,3507,1976
Academy of Marketing Studies Journal,B,Allied Business Academies,1095-6298,1528-2678,3506,1980
Accident Analysis and Prevention,B,Elsevier,0001-4575,1879-2057,3509,1969
Accountancy Business and the Public Interest,B,Association for Accountancy & Business Affairs,1745-7718,,3501,2002
Accounting Accountability and Performance,B,Griffith University,1445-954X,,3501,1995
Accounting and Business Research,B,Taylor & Francis Online,0001-4788,2159-4260,3501,1970
Accounting and Finance,B,Wiley-Blackwell Publishing,0810-5391,1467-629X,3501,1961
Accounting and Taxation,B,Institute for Business and Finance Research,1944-592X,,3501,2007
Accounting and the Public Interest,B,American Accounting Association,1530-9320,,3501,2001
Accounting Auditing and Accountability Journal,B,Emerald Group Publishing Limited,0951-3574,1758-4205,3501,1988
Accounting Education,B,Taylor & Francis Online,0963-9284,1468-4489,3501,1992
Accounting Educators Journal,B,Academy of Accounting Educators Inc.,1041-0392,,3501,1988
Accounting Forum,B,Taylor & Francis Online,0155-9982,1467-6303,3501,2004
Accounting Historians Journal,B,American Accounting Association,0148-4184,,3501,1977
Accounting History,B,Sage Publications,1032-3732,1749-3374,3501,1989
Accounting History Review,B,Taylor & Francis Online,2155-2851,2155-286X,3501,2011
Accounting Horizons,B,American Accounting Association,0888-7993,1558-7975,3501,1987
Accounting in Europe,B,Taylor & Francis Online,1744-9480,1744-9499,3501,2004
Accounting Perspectives,B,Wiley-Blackwell Publishing,1911-382X,1911-3838,3501,2002
Accounting Research Journal,B,Emerald Group Publishing Limited,1030-9616,,3501,1986
"Accounting, Economics and Law – A Convivium",B,De Gruyter,2194-6051,2152-2820,3501,2011
"Accounting, Finance and Governance Review",B,Irish Accounting and Finance Association,0791-9638,,3501,1994
"Accounting, Organizations and Society",B,Elsevier,0361-3682,1873-6289,3501,1976
ACM Transactions on Computer-Human Interaction,B,Association for Computing Machinery,1073-0516,1557-7325,4609,1994
ACM Transactions on Computing Education,B,The Association for Computing Machinery,1531-4278,1531-4278,4609,2009
ACM Transactions on Information Systems,B,Association for Computing Machinery,1046-8188,1558-2868,4609,1983
ACM Transactions on Modeling and Computer Simulation,B,Association for Computing Machinery,1049-3301,1558-1195,3599,1991
Acta Oeconomica,B,Akademiai Kiado,0001-6373,1588-2659,3899,1951
Acta Psychologica,B,Elsevier,0001-6918,1873-6297,3507,1936
Acta Turistica,B,"University of Zagreb, Faculty of Economics and Business",0353-4316,1848-6061,3508,1989
Acta Universitatis Bohemiae Meridionalis,B,University of South Bohemia Faculty of Economics,1212-3285,2336-4297,3801,1971
Action Learning and Action Research Journal,B,ALARA Association Inc.,1326-964X,1326-964X,3507,1996
Action Learning Research and Practice,B,Taylor and Francis Online,1476-7333,1476-7341,3507,2004
Active Learning in Higher Education,B,Sage Publications,1469-7874,1741-2625,3505,2000
Actuarial Research Clearinghouse,B,SOA Education and Research Section,0732-5428,,3502,2004
Adelaide Law Review,B,University of Adelaide,0065-1915,,4801,1960
Administration and Society,B,Sage Publications,0095-3997,1552-3039,3507,1975
Administrative Science Quarterly,B,Sage Publications,0001-8392,1930-3815,3507,1956
Administrative Theory and Praxis,B,Taylor & Francis Online,1084-1806,1949-0461,3507,1979
Advances and Applications in Statistics,B,Pushpa Publishing House,0972-3617,,4905,2001
Advances in Accounting,B,Elsevier,0882-6110,1046-5715,3501,1984
Advances in Accounting Behavioral Research,B,Emerald Group Publishing,1475-1488,,3501,1998
Advances in Accounting Education: teaching and curriculum innovations,B,Emerald Group Publishing,1085-4622,,3501,1996
Advances in Applied Probability,B,Applied Probability Trust,0001-8678,1475-6064,4905,1964
Advances in Consumer Research,B,Association for Consumer Research,0098-9258,,3506,1974
Advances in Developing Human Resources,B,Sage Publications,1523-4223,1552-3055,3505,1999
Advances in Environmental Accounting and Management,B,Emerald Group Publishing,1479-3598,,3501,2000
Advances in Experimental Social Psychology,B,Elsevier,0065-2601,1557-8410,3507,1964
Advances in Hospitality and Leisure,B,Emerald Group Publishing,1745-3542,,3504,2005
Advances in International Management,B,Emerald Group Publishing,1571-5027,,3507,1988
Advances in International Marketing,B,Emerald Group Publishing,1474-7979,,3506,1986
Advances in Management Accounting,B,Emerald Group Publishing,1474-7871,,3501,1990
Advances in Public Interest Accounting,B,Emerald Group Publishing,1041-7060,,3501,1986
Advances in Strategic Management,B,Emerald Group Publishing,0742-3322,,3507,1983
Advances in Taxation,B,Emerald Group Publishing,1058-7497,,4801,1987
Advertising & Society Review,B,Johns Hopkins University Press,2475-1790,1534-7311,3506,2000
Afaq Iqtisadiyyah,B,Federation of UAE Chambers of Commerce and Industry: Centre for Research and Authentication,1024-266X,,3801,1980
Africa Development/Afrique et Developpement,B,Council for the Development of Economic and Social Research in Africa,0850-3907,,3899,1976
African Development Review,B,Wiley-Blackwell Publishing,1017-6772,1467-8268,3899,1989
