Publication ID,Title,Year,Publication Type,Publication URL,Journal Name,Researcher ID,Journal ID
1,Expert advice in the presence of conflicts of interest: the case of star-crossed acquisitions,2023,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1672909-expert%20advice%20in%20the%20presence%20of%20conflicts%20of%20interest-%20the%20case%20of%20star-crossed%20acquisitions,Review of Accounting Studies,1,2244
2,Under weighting of Private Information by Top Analysts,2017,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1114505-under%20weighting%20of%20private%20information%20by%20top%20analysts,Journal of Accounting Research,1,1252
3,Herding by Top Analysts,2015,Report,https://findanexpert.unimelb.edu.au/scholarlywork/1039814-herding%20by%20top%20analysts,,1,
4,Stock returns and the Miller Modigliani valuation formula: Revisiting the Fama French analysis,2013,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/590074-stock%20returns%20and%20the%20miller%20modigliani%20valuation%20formula-%20revisiting%20the%20fama%20french%20analysis,Journal of Financial Economics,1,1475
5,Testing the growth option theory: The profitability of enhanced momentum strategies in Australia,2012,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/328581-testing%20the%20growth%20option%20theory-%20the%20profitability%20of%20enhanced%20momentum%20strategies%20in%20australia,Accounting and Finance,1,16
6,Hot hands and equilibrium,2012,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/333148-hot%20hands%20and%20equilibrium,Applied Economics,1,160
7,Revisiting the Fama and French Valuation Formula,2011,Conference Proceedings,https://findanexpert.unimelb.edu.au/scholarlywork/333155-revisiting%20the%20fama%20and%20french%20valuation%20formula,Proceedings of the Asian Finance Association 2011 International Conference,1,
8,"The Payout Policy of Australian Firms: Dividends, Repurchases and Soft Substitution",2011,Conference Proceedings,https://findanexpert.unimelb.edu.au/scholarlywork/333152-the%20payout%20policy%20of%20australian%20firms-%20dividends-%20repurchases%20and%20soft%20substitution,Proceedings of the 2011 FMA Asian Conference,1,
9,Predicting Failure: The Problem of Biased Selection across BM Portfolios,2010,Conference Proceedings,https://findanexpert.unimelb.edu.au/scholarlywork/333154-predicting%20failure-%20the%20problem%20of%20biased%20selection%20across%20bm%20portfolios,Proceedings of the 2010 FMA Annual Meeting,1,
10,Two Paths to Financial Distress,2008,Conference Proceedings,https://findanexpert.unimelb.edu.au/scholarlywork/333150-two%20paths%20to%20financial%20distress,Proceedings of the 2008 European Financial Management Association,1,
11,Themeda: Predicting land cover change using deep learning,2025,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/2083674-themeda-%20predicting%20land%20cover%20change%20using%20deep%20learning,Journal of Remote Sensing,1,
12,Does Stakeholder Outrage Determine Executive Pay?,2024,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1940819-does%20stakeholder%20outrage%20determine%20executive%20pay?,REVIEW OF CORPORATE FINANCE STUDIES,1,2250
13,Layline insider trading dataset,2023,Dataset,https://findanexpert.unimelb.edu.au/scholarlywork/1773651-layline%20insider%20trading%20dataset,,1,
14,Layline corporate filings dataset,2023,Dataset,https://findanexpert.unimelb.edu.au/scholarlywork/1775758-layline%20corporate%20filings%20dataset,,1,
15,Layline institutional holding reports,2023,Dataset,https://findanexpert.unimelb.edu.au/scholarlywork/1773652-layline%20institutional%20holding%20reports,,1,
16,Insider trading,2023,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1775757-insider%20trading,Scientific Data,1,
17,Time to acquire: Regulatory burden and M&A activity,2022,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1688037-time%20to%20acquire-%20regulatory%20burden%20and%20m&a%20activity,International Review of Financial Analysis,1,1197
18,Differential access to dark markets and execution outcomes,2025,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/2018388-differential%20access%20to%20dark%20markets%20and%20execution%20outcomes,Journal of Financial Economics,1,1475
19,Benchmarking benchmarks,2025,Conference Proceedings,https://findanexpert.unimelb.edu.au/scholarlywork/1378677-benchmarking%20benchmarks,Journal of Financial Economics,1,1475
20,Estimating background risk hedging demands from cross-sectional data,2025,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1931978-estimating%20background%20risk%20hedging%20demands%20from%20cross-sectional%20data,Journal of Financial Research,1,1486
21,Liquidity shocks and pension fund performance: Evidence from early access,2024,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1715989-liquidity%20shocks%20and%20pension%20fund%20performance-%20evidence%20from%20early%20access,Australian Journal of Management,1,274
22,Secondary Market Transparency and Corporate Bond Issuing Costs,2022,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1565084-secondary%20market%20transparency%20and%20corporate%20bond%20issuing%20costs,Review of Finance,1,2260
23,Does Financial Market Structure Affect the Cost of Raising Capital?,2021,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1460746-does%20financial%20market%20structure%20affect%20the%20cost%20of%20raising%20capital?,Journal of Financial and Quantitative Analysis,1,1470
24,Comment on: Price Discovery in High Resolution,2021,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1416707-comment%20on-%20price%20discovery%20in%20high%20resolution,Journal of Financial Econometrics,1,1473
25,THE IMPACT OF COVID-19 ON AUSTRALIA’S HOUSING MARKET,2020,Scholarly Contribution to Database/Website,https://findanexpert.unimelb.edu.au/scholarlywork/1458773-the%20impact%20of%20covid-19%20on%20australiae28099s%20housing%20market,,1,
26,Liquidity Shocks and Pension Fund Performance: Evidence From the Early Release Scheme,2020,Report,https://findanexpert.unimelb.edu.au/scholarlywork/1493940-liquidity%20shocks%20and%20pension%20fund%20performance-%20evidence%20from%20the%20early%20release%20scheme,Australian Journal of Management,1,274
27,Forecasting the Australian yield curve,2019,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1429123-forecasting%20the%20australian%20yield%20curve,Australasian Journal of Applied Finance,1,
28,The Cross-Sectional Spillovers of Single Stock Circuit Breakers,2018,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1438352-the%20cross-sectional%20spillovers%20of%20single%20stock%20circuit%20breakers,Market Microstructure and Liquidity,1,1972
29,Interactions among High-Frequency Traders,2017,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1233873-interactions%20among%20high-frequency%20traders,Journal of Financial and Quantitative Analysis,1,1470
30,Testing preference stability between couples and singles,2016,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1067083-testing%20preference%20stability%20between%20couples%20and%20singles,Economics Letters,1,603
